# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 2696.2600000000  0.0768713284 0.5275980329
  45.0000000000 2692.0200000000  0.0769491486 0.5274069867
  45.0000000000 2687.8000000000  0.0770268997 0.5272162309
  45.0000000000 2683.5900000000  0.0771047640 0.5270253177
  45.0000000000 2679.4000000000  0.0771825548 0.5268347047
  45.0000000000 2675.2100000000  0.0772606429 0.5266434843
  45.0000000000 2671.0500000000  0.0773384672 0.5264530298
  45.0000000000 2666.8900000000  0.0774165874 0.5262619721
  45.0000000000 2662.7500000000  0.0774946269 0.5260712318
  45.0000000000 2658.6100000000  0.0775729623 0.5258798896
  45.0000000000 2654.5000000000  0.0776510238 0.5256893363
  45.0000000000 2650.3900000000  0.0777293796 0.5254981855
  45.0000000000 2646.3000000000  0.0778076477 0.5253073694
  45.0000000000 2642.2200000000  0.0778860174 0.5251164260
  45.0000000000 2638.1500000000  0.0779644880 0.5249253573
  45.0000000000 2634.1000000000  0.0780428650 0.5247346373
  45.0000000000 2630.0600000000  0.0781213399 0.5245437995
  45.0000000000 2626.0300000000  0.0781999119 0.5243528460
  45.0000000000 2622.0100000000  0.0782785803 0.5241617792
  45.0000000000 2618.0000000000  0.0783573442 0.5239706012
  45.0000000000 2614.0100000000  0.0784360053 0.5237797934
  45.0000000000 2610.0300000000  0.0785147588 0.5235888820
  45.0000000000 2606.0600000000  0.0785936039 0.5233978692
  45.0000000000 2602.1000000000  0.0786725398 0.5232067575
  45.0000000000 2598.1600000000  0.0787513651 0.5230160338
  45.0000000000 2594.2300000000  0.0788302781 0.5228252187
  45.0000000000 2590.3100000000  0.0789092777 0.5226343145
  45.0000000000 2586.4000000000  0.0789883632 0.5224433236
  45.0000000000 2582.5000000000  0.0790675337 0.5222522483
  45.0000000000 2578.6100000000  0.0791467883 0.5220610910
  45.0000000000 2574.7400000000  0.0792259212 0.5218703477
  45.0000000000 2570.8800000000  0.0793051349 0.5216795301
  45.0000000000 2567.0300000000  0.0793844285 0.5214886407
  45.0000000000 2563.1900000000  0.0794638010 0.5212976818
  45.0000000000 2559.3600000000  0.0795432517 0.5211066560
